Device;Net1;Net2;Capacitance [fF];Resistance [Ω]
R1;$0.17;$1.18;;152.0
R2;$0.17;poly;;0.0
R3;$1.18;$2.18;;0.0
R4;$1.18;li1;;0.0
R5;$10.39;$11.27;;0.38
R6;$10.39;$9.39;;0.0
R7;$11.27;met5;;0.0
R8;$2.18;$3.25;;9.3
R9;$3.25;$4.25;;0.0
R10;$3.25;met1;;0.0
R11;$4.25;$5.26;;4.5
R12;$5.26;$6.26;;0.0
R13;$5.26;met2;;0.0
R14;$6.26;$7.35;;3.41
R15;$7.35;$8.35;;0.0
R16;$7.35;met3;;0.0
R17;$8.35;$9.39;;3.41
R18;$9.39;met4;;0.0
