"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","352","test_near_body_shield_li1_m1","kpex/2.5D Extraction Tests","Wed Apr 08 14:59:23 UTC 2026","passed","Wed Apr 08 14:59:24 UTC 2026","","rcx25_test","",""
"","0","test_auto_prefix","Unit Tests","Wed Apr 08 14:56:49 UTC 2026","passed","Wed Apr 08 14:56:49 UTC 2026","UnitFormatterTest","unit_formatter_test","",""
"","2743","test_wire_voltage_divider_li1","kpex/2.5D Extraction Tests [PDK sky130A | mode R]","Wed Apr 08 14:59:13 UTC 2026","failed","Wed Apr 08 14:59:15 UTC 2026","","rcx25_R_sky130A_test","",""
"","323","test_single_plate_100um_x_100um_li1_over_substrate","kpex/2.5D Extraction Tests","Wed Apr 08 14:59:21 UTC 2026","passed","Wed Apr 08 14:59:21 UTC 2026","","rcx25_test","",""
"","0","test_env_with_custom_variables","Unit Tests","Wed Apr 08 14:56:48 UTC 2026","passed","Wed Apr 08 14:56:48 UTC 2026","Test","env_test","",""
"","2675","test_overlap_plates_100um_x_100um_li1_m1","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Wed Apr 08 14:58:26 UTC 2026","passed","Wed Apr 08 14:58:29 UTC 2026","","rcx25_CC_sky130A_test","",""
"","2","test_fastercap_parse_capacitance_matrix","Unit Tests","Wed Apr 08 14:56:49 UTC 2026","passed","Wed Apr 08 14:56:49 UTC 2026","Test","fastercap_runner_test","",""
"","2843","test_via_stack_1x1_minsize_poly_to_met5","kpex/2.5D Extraction Tests [PDK sky130A | mode R]","Wed Apr 08 14:59:16 UTC 2026","failed","Wed Apr 08 14:59:18 UTC 2026","","rcx25_R_sky130A_test","",""
"","339","test_sidewall_net_uturn_l1_redux","kpex/2.5D Extraction Tests","Wed Apr 08 14:59:23 UTC 2026","passed","Wed Apr 08 14:59:23 UTC 2026","","rcx25_test","",""
"","2","test_netlist_reduction_1","Unit Tests","Wed Apr 08 14:56:49 UTC 2026","passed","Wed Apr 08 14:56:49 UTC 2026","Test","netlist_reducer_test","",""
