"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_klayout_polygon_to_pb","Unit Tests","2026-06-08","passed","2026-06-08","ShapesConverterTest","shapes_pb2_converter_test","",""
"","1","test_boundary_cases","Unit Tests","2026-06-08","passed","2026-06-08","UnitFormatterTest","unit_formatter_test","",""
"","1","test_netlist_reduction_2","Unit Tests","2026-06-08","passed","2026-06-08","Test","netlist_reducer_test","",""
"","3","test_netlist_reduction_1","Unit Tests","2026-06-08","passed","2026-06-08","Test","netlist_json_test","",""
"","327","test_overlap_plates_100um_x_100um_li1_m1","kpex/2.5D Extraction Tests","2026-06-08","passed","2026-06-08","","rcx25_test","",""
"","2517","test_single_wire_li1","kpex/2.5D Extraction Tests [PDK sky130A | mode R]","2026-06-08","failed","2026-06-08","","rcx25_R_sky130A_test","",""
"","1","test_klayout_polygon","Unit Tests","2026-06-08","passed","2026-06-08","ShapesConverterTest","shapes_pb2_converter_test","",""
"","2676","test_via_stack_1x1_minsize_poly_to_met5","kpex/2.5D Extraction Tests [PDK sky130A | mode R]","2026-06-08","failed","2026-06-08","","rcx25_R_sky130A_test","",""
"","335","test_sideoverlap_simple_plates_li1_m1","kpex/2.5D Extraction Tests","2026-06-08","passed","2026-06-08","","rcx25_test","",""
"","1","test_parse_csv","Unit Tests","2026-06-08","passed","2026-06-08","Test","capacitance_matrix_test","",""
"","1","test_auto_prefix","Unit Tests","2026-06-08","passed","2026-06-08","UnitFormatterTest","unit_formatter_test","",""
"","2501","test_sideoverlap_fingered_li1_m1","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","2026-06-08","passed","2026-06-08","","rcx25_CC_sky130A_test","",""
"","0","test_valid_pdk_from_env","Unit Tests","2026-06-08","passed","2026-06-08","Test","env_test","",""
"","1071","test_fastercap_model_generator","Unit Tests","2026-06-08","passed","2026-06-08","","fastercap_model_generator_test","",""
"","453","test_mom_cap__blackboxed","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","2026-06-08","passed","2026-06-08","","rcx25_CC_sky130A_test","",""
"","7","test_fastcap_parse_capacitance_matrix","Unit Tests","2026-06-08","passed","2026-06-08","Test","fastcap_runner_test","",""
"","0","test_klayout_point","Unit Tests","2026-06-08","passed","2026-06-08","ShapesConverterTest","shapes_pb2_converter_test","",""
"","2622","test_nfet_li1_redux","kpex/2.5D Extraction Tests [PDK sky130A | mode R]","2026-06-08","failed","2026-06-08","","rcx25_R_sky130A_test","",""
"","4996","test_mom_cap__whiteboxed","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","2026-06-08","passed","2026-06-08","","rcx25_CC_sky130A_test","",""
"","2506","test_sideoverlap_plates_li1_m1","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","2026-06-08","passed","2026-06-08","","rcx25_CC_sky130A_test","",""
"","2510","test_wire_voltage_divider_li1","kpex/2.5D Extraction Tests [PDK sky130A | mode R]","2026-06-08","failed","2026-06-08","","rcx25_R_sky130A_test","",""
"","346","test_sidewall_cap_vpp_04p4x04p6_l1_redux","kpex/2.5D Extraction Tests","2026-06-08","passed","2026-06-08","","rcx25_test","",""
"","10","test_netlist_reduction_2","Unit Tests","2026-06-08","passed","2026-06-08","Test","netlist_json_test","",""
"","2","test_fastercap_parse_capacitance_matrix","Unit Tests","2026-06-08","passed","2026-06-08","Test","fastercap_runner_test","",""
"","2641","test_sideoverlap_complex_li1_m1","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","2026-06-08","passed","2026-06-08","","rcx25_CC_sky130A_test","",""
"","339","test_sideoverlap_fingered_li1_m1_patternA","kpex/2.5D Extraction Tests","2026-06-08","passed","2026-06-08","","rcx25_test","",""
"","2545","test_contact_1x1_minsize_mcon","kpex/2.5D Extraction Tests [PDK sky130A | mode R]","2026-06-08","failed","2026-06-08","","rcx25_R_sky130A_test","",""
"","314","test_sidewall_100um_x_100um_distance_200nm_li1","kpex/2.5D Extraction Tests","2026-06-08","passed","2026-06-08","","rcx25_test","",""
"","0","test_klayout_region","Unit Tests","2026-06-08","passed","2026-06-08","ShapesConverterTest","shapes_pb2_converter_test","",""
"","0","test_normed_descending","Unit Tests","2026-06-08","passed","2026-06-08","NetCoupleKeyTest","extraction_results_test","",""
"","25","test_netlist_expansion","Unit Tests","2026-06-08","passed","2026-06-08","Test","netlist_expander_test","",""
"","2530","test_overlap_plates_100um_x_100um_li1_m1_m2_m3","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","2026-06-08","passed","2026-06-08","","rcx25_CC_sky130A_test","",""
"","2464","test_sideoverlap_fingered_li1_m1_patternA","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","2026-06-08","passed","2026-06-08","","rcx25_CC_sky130A_test","",""
"","1","test_averaged_off_diagonals","Unit Tests","2026-06-08","passed","2026-06-08","Test","capacitance_matrix_test","",""
"","333","test_near_body_shield_li1_m1","kpex/2.5D Extraction Tests","2026-06-08","passed","2026-06-08","","rcx25_test","",""
"","2451","test_near_body_shield_li1_m1","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","2026-06-08","passed","2026-06-08","","rcx25_CC_sky130A_test","",""
"","0","test_write_csv","Unit Tests","2026-06-08","passed","2026-06-08","Test","capacitance_matrix_test","",""
"","0","test_render_enum_help__nodefault__intenum","Unit Tests","2026-06-08","passed","2026-06-08","Test","argparse_helpers_test","",""
"","0","test_render_enum_help__default__strenum","Unit Tests","2026-06-08","passed","2026-06-08","Test","argparse_helpers_test","",""
"","2444","test_sidewall_cap_vpp_04p4x04p6_l1_redux","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","2026-06-08","passed","2026-06-08","","rcx25_CC_sky130A_test","",""
"","2470","test_sideoverlap_shielding_simple_plates_li1_m1_m2","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","2026-06-08","passed","2026-06-08","","rcx25_CC_sky130A_test","",""
"","323","test_sidewall_net_uturn_l1_redux","kpex/2.5D Extraction Tests","2026-06-08","passed","2026-06-08","","rcx25_test","",""
