"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_render_enum_help__default__intenum","Unit Tests","Wed Apr 15 16:13:05 UTC 2026","passed","Wed Apr 15 16:13:05 UTC 2026","Test","argparse_helpers_test","",""
"","0","test_env_has_defaults","Unit Tests","Wed Apr 15 16:13:04 UTC 2026","passed","Wed Apr 15 16:13:04 UTC 2026","Test","env_test","",""
"","0","test_klayout_polygon","Unit Tests","Wed Apr 15 16:13:05 UTC 2026","passed","Wed Apr 15 16:13:05 UTC 2026","ShapesConverterTest","shapes_pb2_converter_test","",""
"","0","test_parse_csv","Unit Tests","Wed Apr 15 16:13:04 UTC 2026","passed","Wed Apr 15 16:13:04 UTC 2026","Test","capacitance_matrix_test","",""
"","223","test_lateral_fringe_shield_by_same_polygon_li1","kpex/2.5D Extraction Tests","Wed Apr 15 16:15:58 UTC 2026","passed","Wed Apr 15 16:15:58 UTC 2026","","rcx25_test","",""
"","2038","test_nfet_li1_redux","kpex/2.5D Extraction Tests [PDK sky130A | mode R]","Wed Apr 15 16:15:54 UTC 2026","failed","Wed Apr 15 16:15:56 UTC 2026","","rcx25_R_sky130A_test","",""
"","1992","test_sideoverlap_simple_plates_li1_m1","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Wed Apr 15 16:15:30 UTC 2026","passed","Wed Apr 15 16:15:32 UTC 2026","","rcx25_CC_sky130A_test","",""
"","1989","test_single_wire_li1","kpex/2.5D Extraction Tests [PDK sky130A | mode R]","Wed Apr 15 16:15:46 UTC 2026","failed","Wed Apr 15 16:15:48 UTC 2026","","rcx25_R_sky130A_test","",""
"","0","test_klayout_box","Unit Tests","Wed Apr 15 16:13:05 UTC 2026","passed","Wed Apr 15 16:13:05 UTC 2026","ShapesConverterTest","shapes_pb2_converter_test","",""
"","231","test_overlap_plates_100um_x_100um_li1_m1","kpex/2.5D Extraction Tests","Wed Apr 15 16:15:57 UTC 2026","passed","Wed Apr 15 16:15:57 UTC 2026","","rcx25_test","",""
"","2","test_fastercap_parse_capacitance_matrix","Unit Tests","Wed Apr 15 16:13:05 UTC 2026","passed","Wed Apr 15 16:13:05 UTC 2026","Test","fastercap_runner_test","",""
"","1987","test_wire_voltage_divider_li1","kpex/2.5D Extraction Tests [PDK sky130A | mode R]","Wed Apr 15 16:15:50 UTC 2026","failed","Wed Apr 15 16:15:52 UTC 2026","","rcx25_R_sky130A_test","",""
"","0","test_klayout_polygon_to_pb","Unit Tests","Wed Apr 15 16:13:05 UTC 2026","passed","Wed Apr 15 16:13:05 UTC 2026","ShapesConverterTest","shapes_pb2_converter_test","",""
"","0","test_klayout_point","Unit Tests","Wed Apr 15 16:13:05 UTC 2026","passed","Wed Apr 15 16:13:05 UTC 2026","ShapesConverterTest","shapes_pb2_converter_test","",""
"","0","test_summarize_sideoverlap","Unit Tests","Wed Apr 15 16:13:05 UTC 2026","passed","Wed Apr 15 16:13:05 UTC 2026","CellExtractionResultsTest","extraction_results_test","",""
"","0","test_render_enum_help__default__strenum__lowercased","Unit Tests","Wed Apr 15 16:13:05 UTC 2026","passed","Wed Apr 15 16:13:05 UTC 2026","Test","argparse_helpers_test","",""
"","0","test_normed_ascending","Unit Tests","Wed Apr 15 16:13:05 UTC 2026","passed","Wed Apr 15 16:13:05 UTC 2026","NetCoupleKeyTest","extraction_results_test","",""
"","2","test_boundary_cases","Unit Tests","Wed Apr 15 16:13:05 UTC 2026","passed","Wed Apr 15 16:13:05 UTC 2026","UnitFormatterTest","unit_formatter_test","",""
"","1962","test_overlap_plates_100um_x_100um_li1_m1","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Wed Apr 15 16:15:16 UTC 2026","passed","Wed Apr 15 16:15:18 UTC 2026","","rcx25_CC_sky130A_test","",""
"","1992","test_sideoverlap_fingered_li1_m1_patternA","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Wed Apr 15 16:15:36 UTC 2026","passed","Wed Apr 15 16:15:38 UTC 2026","","rcx25_CC_sky130A_test","",""
"","2030","test_overlap_plates_100um_x_100um_li1_m1_m2_m3","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Wed Apr 15 16:15:18 UTC 2026","passed","Wed Apr 15 16:15:20 UTC 2026","","rcx25_CC_sky130A_test","",""
"","0","test_normed_descending","Unit Tests","Wed Apr 15 16:13:05 UTC 2026","passed","Wed Apr 15 16:13:05 UTC 2026","NetCoupleKeyTest","extraction_results_test","",""
"","1957","test_sidewall_cap_vpp_04p4x04p6_l1_redux","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Wed Apr 15 16:15:24 UTC 2026","passed","Wed Apr 15 16:15:26 UTC 2026","","rcx25_CC_sky130A_test","",""
"","32","test_netlist_expansion","Unit Tests","Wed Apr 15 16:13:05 UTC 2026","passed","Wed Apr 15 16:13:05 UTC 2026","Test","netlist_expander_test","",""
"","0","test_netlist_reduction_2","Unit Tests","Wed Apr 15 16:13:05 UTC 2026","passed","Wed Apr 15 16:13:05 UTC 2026","Test","netlist_reducer_test","",""
"","2031","test_sideoverlap_fingered_li1_m1","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Wed Apr 15 16:15:38 UTC 2026","passed","Wed Apr 15 16:15:40 UTC 2026","","rcx25_CC_sky130A_test","",""
"","241","test_sideoverlap_fingered_li1_m1_patternA","kpex/2.5D Extraction Tests","Wed Apr 15 16:15:59 UTC 2026","passed","Wed Apr 15 16:15:59 UTC 2026","","rcx25_test","",""
"","10272","test_single_plate_100um_x_100um_li1_over_substrate","kpex/FasterCap Extraction Tests","Wed Apr 15 16:15:06 UTC 2026","failed","Wed Apr 15 16:15:16 UTC 2026","","fastercap_test","",""
"","224","test_sidewall_cap_vpp_04p4x04p6_l1_redux","kpex/2.5D Extraction Tests","Wed Apr 15 16:15:58 UTC 2026","passed","Wed Apr 15 16:15:58 UTC 2026","","rcx25_test","",""
"","0","test_summarize_overlap","Unit Tests","Wed Apr 15 16:13:05 UTC 2026","passed","Wed Apr 15 16:13:05 UTC 2026","CellExtractionResultsTest","extraction_results_test","",""
"","2031","test_lateral_fringe_shield_by_same_polygon_li1","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Wed Apr 15 16:15:28 UTC 2026","passed","Wed Apr 15 16:15:30 UTC 2026","","rcx25_CC_sky130A_test","",""
"","2","test_invalid_prefix","Unit Tests","Wed Apr 15 16:13:05 UTC 2026","passed","Wed Apr 15 16:13:05 UTC 2026","UnitFormatterTest","unit_formatter_test","",""
"","1958","test_sidewall_net_uturn_l1_redux","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Wed Apr 15 16:15:22 UTC 2026","passed","Wed Apr 15 16:15:24 UTC 2026","","rcx25_CC_sky130A_test","",""
"","0","test_forced_prefix","Unit Tests","Wed Apr 15 16:13:05 UTC 2026","passed","Wed Apr 15 16:13:05 UTC 2026","UnitFormatterTest","unit_formatter_test","",""
"","271","test_sideoverlap_plates_li1_m1","kpex/2.5D Extraction Tests","Wed Apr 15 16:15:59 UTC 2026","passed","Wed Apr 15 16:15:59 UTC 2026","","rcx25_test","",""
"","4","test_averaged_off_diagonals","Unit Tests","Wed Apr 15 16:13:04 UTC 2026","passed","Wed Apr 15 16:13:04 UTC 2026","Test","capacitance_matrix_test","",""
"","3816","test_mom_cap__whiteboxed","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Wed Apr 15 16:15:42 UTC 2026","passed","Wed Apr 15 16:15:46 UTC 2026","","rcx25_CC_sky130A_test","",""
