"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2624","test_sidewall_100um_x_100um_distance_200nm_li1","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Fri Dec 19 18:41:26 UTC 2025","passed","Fri Dec 19 18:41:28 UTC 2025","","rcx25_CC_sky130A_test","",""
"","324","test_sidewall_cap_vpp_04p4x04p6_l1_redux","kpex/2.5D Extraction Tests","Fri Dec 19 18:42:16 UTC 2025","passed","Fri Dec 19 18:42:17 UTC 2025","","rcx25_test","",""
"","0","test_summarize_overlap","Unit Tests","Fri Dec 19 18:39:42 UTC 2025","passed","Fri Dec 19 18:39:42 UTC 2025","CellExtractionResultsTest","extraction_results_test","",""
"","2666","test_sideoverlap_fingered_li1_m1_patternA","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Fri Dec 19 18:41:47 UTC 2025","passed","Fri Dec 19 18:41:50 UTC 2025","","rcx25_CC_sky130A_test","",""
"","331","test_sidewall_net_uturn_l1_redux","kpex/2.5D Extraction Tests","Fri Dec 19 18:42:16 UTC 2025","passed","Fri Dec 19 18:42:16 UTC 2025","","rcx25_test","",""
"","0","test_invalid_prefix","Unit Tests","Fri Dec 19 18:39:42 UTC 2025","passed","Fri Dec 19 18:39:42 UTC 2025","UnitFormatterTest","unit_formatter_test","",""
"","316","test_single_plate_100um_x_100um_li1_over_substrate","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Fri Dec 19 18:41:20 UTC 2025","passed","Fri Dec 19 18:41:20 UTC 2025","","rcx25_CC_sky130A_test","",""
"","5264","test_mom_cap__whiteboxed","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Fri Dec 19 18:41:55 UTC 2025","passed","Fri Dec 19 18:42:00 UTC 2025","","rcx25_CC_sky130A_test","",""
"","0","test_normed_descending","Unit Tests","Fri Dec 19 18:39:42 UTC 2025","passed","Fri Dec 19 18:39:42 UTC 2025","NetCoupleKeyTest","extraction_results_test","",""
"","6","test_netlist_reduction_1","Unit Tests","Fri Dec 19 18:39:42 UTC 2025","passed","Fri Dec 19 18:39:42 UTC 2025","Test","netlist_json_test","",""
