"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","464","test_mom_cap__blackboxed","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Thu Oct 30 15:52:50 UTC 2025","passed","Thu Oct 30 15:52:50 UTC 2025","","rcx25_CC_sky130A_test","",""
"","347","test_sideoverlap_fingered_li1_m1_patternA","kpex/2.5D Extraction Tests","Thu Oct 30 15:53:08 UTC 2025","passed","Thu Oct 30 15:53:08 UTC 2025","","rcx25_test","",""
"","2743","test_nfet_li1_redux","kpex/2.5D Extraction Tests [PDK sky130A | mode R]","Thu Oct 30 15:53:01 UTC 2025","failed","Thu Oct 30 15:53:04 UTC 2025","","rcx25_R_sky130A_test","",""
"","0","test_klayout_point","Unit Tests","Thu Oct 30 15:50:26 UTC 2025","passed","Thu Oct 30 15:50:26 UTC 2025","ShapesConverterTest","shapes_pb2_converter_test","",""
"","321","test_single_plate_100um_x_100um_li1_over_substrate","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Thu Oct 30 15:52:09 UTC 2025","passed","Thu Oct 30 15:52:10 UTC 2025","","rcx25_CC_sky130A_test","",""
"","1006","test_fastercap_model_generator","Unit Tests","Thu Oct 30 15:50:25 UTC 2025","passed","Thu Oct 30 15:50:26 UTC 2025","","fastercap_model_generator_test","",""
"","0","test_klayout_region","Unit Tests","Thu Oct 30 15:50:26 UTC 2025","passed","Thu Oct 30 15:50:26 UTC 2025","ShapesConverterTest","shapes_pb2_converter_test","",""
"","395","test_sideoverlap_fingered_li1_m1","kpex/2.5D Extraction Tests","Thu Oct 30 15:53:08 UTC 2025","passed","Thu Oct 30 15:53:08 UTC 2025","","rcx25_test","",""
"","0","test_summarize_sideoverlap","Unit Tests","Thu Oct 30 15:50:26 UTC 2025","passed","Thu Oct 30 15:50:26 UTC 2025","CellExtractionResultsTest","extraction_results_test","",""
"","322","test_lateral_fringe_shield_by_same_polygon_li1","kpex/2.5D Extraction Tests","Thu Oct 30 15:53:06 UTC 2025","passed","Thu Oct 30 15:53:06 UTC 2025","","rcx25_test","",""
