"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","486","test_sideoverlap_complex_li1_m1","kpex/2.5D Extraction Tests","Tue Feb 03 14:24:55 UTC 2026","passed","Tue Feb 03 14:24:55 UTC 2026","","rcx25_test","",""
"","2626","test_sideoverlap_simple_plates_li1_m1","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Tue Feb 03 14:24:15 UTC 2026","passed","Tue Feb 03 14:24:18 UTC 2026","","rcx25_CC_sky130A_test","",""
"","12785","test_single_plate_100um_x_100um_li1_over_substrate","kpex/FasterCap Extraction Tests","Tue Feb 03 14:23:44 UTC 2026","failed","Tue Feb 03 14:23:57 UTC 2026","","fastercap_test","",""
"","1070","test_fastercap_model_generator","Unit Tests","Tue Feb 03 14:22:25 UTC 2026","passed","Tue Feb 03 14:22:26 UTC 2026","","fastercap_model_generator_test","",""
"","0","test_forced_prefix","Unit Tests","Tue Feb 03 14:22:26 UTC 2026","passed","Tue Feb 03 14:22:26 UTC 2026","UnitFormatterTest","unit_formatter_test","",""
"","2780","test_nfet_li1_redux","kpex/2.5D Extraction Tests [PDK sky130A | mode R]","Tue Feb 03 14:24:48 UTC 2026","failed","Tue Feb 03 14:24:50 UTC 2026","","rcx25_R_sky130A_test","",""
"","0","test_normed_descending","Unit Tests","Tue Feb 03 14:22:26 UTC 2026","passed","Tue Feb 03 14:22:26 UTC 2026","NetCoupleKeyTest","extraction_results_test","",""
"","2","test_netlist_reduction_1","Unit Tests","Tue Feb 03 14:22:26 UTC 2026","passed","Tue Feb 03 14:22:26 UTC 2026","Test","netlist_reducer_test","",""
"","341","test_sideoverlap_fingered_li1_m1_patternA","kpex/2.5D Extraction Tests","Tue Feb 03 14:24:54 UTC 2026","passed","Tue Feb 03 14:24:55 UTC 2026","","rcx25_test","",""
"","0","test_summarize_sidewall","Unit Tests","Tue Feb 03 14:22:26 UTC 2026","passed","Tue Feb 03 14:22:26 UTC 2026","CellExtractionResultsTest","extraction_results_test","",""
"","0","test_klayout_point_to_pb","Unit Tests","Tue Feb 03 14:22:26 UTC 2026","passed","Tue Feb 03 14:22:26 UTC 2026","ShapesConverterTest","shapes_pb2_converter_test","",""
"","424","test_sideoverlap_fingered_li1_m1","kpex/2.5D Extraction Tests","Tue Feb 03 14:24:55 UTC 2026","passed","Tue Feb 03 14:24:55 UTC 2026","","rcx25_test","",""
"","0","test_klayout_point","Unit Tests","Tue Feb 03 14:22:26 UTC 2026","passed","Tue Feb 03 14:22:26 UTC 2026","ShapesConverterTest","shapes_pb2_converter_test","",""
"","28","test_netlist_expansion","Unit Tests","Tue Feb 03 14:22:26 UTC 2026","passed","Tue Feb 03 14:22:26 UTC 2026","Test","netlist_expander_test","",""
"","5242","test_mom_cap__whiteboxed","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Tue Feb 03 14:24:31 UTC 2026","passed","Tue Feb 03 14:24:36 UTC 2026","","rcx25_CC_sky130A_test","",""
"","0","test_render_enum_help__nodefault__intenum","Unit Tests","Tue Feb 03 14:22:26 UTC 2026","passed","Tue Feb 03 14:22:26 UTC 2026","Test","argparse_helpers_test","",""
"","2778","test_via_stack_1x1_minsize_poly_to_met5","kpex/2.5D Extraction Tests [PDK sky130A | mode R]","Tue Feb 03 14:24:45 UTC 2026","failed","Tue Feb 03 14:24:48 UTC 2026","","rcx25_R_sky130A_test","",""
"","2652","test_sideoverlap_fingered_li1_m1","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Tue Feb 03 14:24:26 UTC 2026","passed","Tue Feb 03 14:24:28 UTC 2026","","rcx25_CC_sky130A_test","",""
"","4","test_netlist_reduction_1","Unit Tests","Tue Feb 03 14:22:26 UTC 2026","passed","Tue Feb 03 14:22:26 UTC 2026","Test","netlist_json_test","",""
"","2610","test_sidewall_net_uturn_l1_redux","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Tue Feb 03 14:24:05 UTC 2026","passed","Tue Feb 03 14:24:07 UTC 2026","","rcx25_CC_sky130A_test","",""
"","383","test_sideoverlap_plates_li1_m1","kpex/2.5D Extraction Tests","Tue Feb 03 14:24:54 UTC 2026","passed","Tue Feb 03 14:24:54 UTC 2026","","rcx25_test","",""
"","333","test_overlap_plates_100um_x_100um_li1_m1","kpex/2.5D Extraction Tests","Tue Feb 03 14:24:51 UTC 2026","passed","Tue Feb 03 14:24:51 UTC 2026","","rcx25_test","",""
"","459","test_mom_cap__blackboxed","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Tue Feb 03 14:24:36 UTC 2026","passed","Tue Feb 03 14:24:37 UTC 2026","","rcx25_CC_sky130A_test","",""
"","1","test_klayout_box","Unit Tests","Tue Feb 03 14:22:26 UTC 2026","passed","Tue Feb 03 14:22:26 UTC 2026","ShapesConverterTest","shapes_pb2_converter_test","",""
