"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_klayout_region","Unit Tests","Fri Aug 01 15:45:25 GMT 2025","passed","Fri Aug 01 15:45:25 GMT 2025","ShapesConverterTest","shapes_pb2_converter_test","",""
"","0","test_normed_ascending","Unit Tests","Fri Aug 01 15:45:25 GMT 2025","passed","Fri Aug 01 15:45:25 GMT 2025","NetCoupleKeyTest","extraction_results_test","",""
"","2720","test_sideoverlap_plates_li1_m1","kpex/2.5D Extraction Tests","Fri Aug 01 15:47:17 GMT 2025","passed","Fri Aug 01 15:47:19 GMT 2025","","rcx25_test","",""
"","2456","test_overlap_plates_100um_x_100um_li1_m1","kpex/2.5D Extraction Tests","Fri Aug 01 15:46:54 GMT 2025","passed","Fri Aug 01 15:46:57 GMT 2025","","rcx25_test","",""
"","0","test_summarize_sideoverlap","Unit Tests","Fri Aug 01 15:45:25 GMT 2025","passed","Fri Aug 01 15:45:25 GMT 2025","CellExtractionResultsTest","extraction_results_test","",""
"","10","test_netlist_reduction_2","Unit Tests","Fri Aug 01 15:45:25 GMT 2025","passed","Fri Aug 01 15:45:25 GMT 2025","Test","netlist_json_test","",""
"","2863","test_sideoverlap_fingered_li1_m1","kpex/2.5D Extraction Tests","Fri Aug 01 15:47:22 GMT 2025","passed","Fri Aug 01 15:47:25 GMT 2025","","rcx25_test","",""
"","2545","test_sideoverlap_fingered_li1_m1_patternA","kpex/2.5D Extraction Tests","Fri Aug 01 15:47:19 GMT 2025","passed","Fri Aug 01 15:47:22 GMT 2025","","rcx25_test","",""
"","3","test_fastercap_parse_capacitance_matrix","Unit Tests","Fri Aug 01 15:45:25 GMT 2025","passed","Fri Aug 01 15:45:25 GMT 2025","Test","fastercap_runner_test","",""
"","2396","test_lateral_fringe_shield_by_same_polygon_li1","kpex/2.5D Extraction Tests","Fri Aug 01 15:47:09 GMT 2025","passed","Fri Aug 01 15:47:12 GMT 2025","","rcx25_test","",""
"","1053","test_fastercap_model_generator","Unit Tests","Fri Aug 01 15:45:24 GMT 2025","passed","Fri Aug 01 15:45:25 GMT 2025","","fastercap_model_generator_test","",""
"","2476","test_sidewall_net_uturn_l1_redux","kpex/2.5D Extraction Tests","Fri Aug 01 15:47:02 GMT 2025","passed","Fri Aug 01 15:47:04 GMT 2025","","rcx25_test","",""
"","1","test_render_enum_help__default__intenum","Unit Tests","Fri Aug 01 15:45:25 GMT 2025","passed","Fri Aug 01 15:45:25 GMT 2025","Test","argparse_helpers_test","",""
"","0","test_write_csv","Unit Tests","Fri Aug 01 15:45:24 GMT 2025","passed","Fri Aug 01 15:45:24 GMT 2025","Test","capacitance_matrix_test","",""
"","11646","test_single_plate_100um_x_100um_li1_over_substrate","kpex/FasterCap Extraction Tests","Fri Aug 01 15:46:42 GMT 2025","failed","Fri Aug 01 15:46:54 GMT 2025","","fastercap_test","",""
"","0","test_render_enum_help__default__strenum","Unit Tests","Fri Aug 01 15:45:25 GMT 2025","passed","Fri Aug 01 15:45:25 GMT 2025","Test","argparse_helpers_test","",""
"","1","test_netlist_reduction_1","Unit Tests","Fri Aug 01 15:45:25 GMT 2025","passed","Fri Aug 01 15:45:25 GMT 2025","Test","netlist_reducer_test","",""
"","2499","test_sidewall_cap_vpp_04p4x04p6_l1_redux","kpex/2.5D Extraction Tests","Fri Aug 01 15:47:04 GMT 2025","passed","Fri Aug 01 15:47:07 GMT 2025","","rcx25_test","",""
"","4","test_netlist_reduction_1","Unit Tests","Fri Aug 01 15:45:25 GMT 2025","passed","Fri Aug 01 15:45:25 GMT 2025","Test","netlist_json_test","",""
"","2436","test_sidewall_100um_x_100um_distance_200nm_li1","kpex/2.5D Extraction Tests","Fri Aug 01 15:46:59 GMT 2025","passed","Fri Aug 01 15:47:02 GMT 2025","","rcx25_test","",""
"","0","test_normed_descending","Unit Tests","Fri Aug 01 15:45:25 GMT 2025","passed","Fri Aug 01 15:45:25 GMT 2025","NetCoupleKeyTest","extraction_results_test","",""
"","1","test_netlist_reduction_2","Unit Tests","Fri Aug 01 15:45:25 GMT 2025","passed","Fri Aug 01 15:45:25 GMT 2025","Test","netlist_reducer_test","",""
"","1","test_render_enum_help__nodefault__intenum","Unit Tests","Fri Aug 01 15:45:25 GMT 2025","passed","Fri Aug 01 15:45:25 GMT 2025","Test","argparse_helpers_test","",""
"","2488","test_sideoverlap_shielding_simple_plates_li1_m1_m2","kpex/2.5D Extraction Tests","Fri Aug 01 15:47:14 GMT 2025","passed","Fri Aug 01 15:47:17 GMT 2025","","rcx25_test","",""
"","1","test_averaged_off_diagonals","Unit Tests","Fri Aug 01 15:45:24 GMT 2025","passed","Fri Aug 01 15:45:24 GMT 2025","Test","capacitance_matrix_test","",""
"","28","test_fastcap_parse_capacitance_matrix","Unit Tests","Fri Aug 01 15:45:24 GMT 2025","passed","Fri Aug 01 15:45:24 GMT 2025","Test","fastcap_runner_test","",""
"","0","test_summarize_overlap","Unit Tests","Fri Aug 01 15:45:25 GMT 2025","passed","Fri Aug 01 15:45:25 GMT 2025","CellExtractionResultsTest","extraction_results_test","",""
