"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_normed_ascending","Unit Tests","Tue Feb 03 13:48:38 UTC 2026","passed","Tue Feb 03 13:48:38 UTC 2026","NetCoupleKeyTest","extraction_results_test","",""
"","26","test_netlist_expansion","Unit Tests","Tue Feb 03 13:48:38 UTC 2026","passed","Tue Feb 03 13:48:38 UTC 2026","Test","netlist_expander_test","",""
"","0","test_auto_prefix","Unit Tests","Tue Feb 03 13:48:38 UTC 2026","passed","Tue Feb 03 13:48:38 UTC 2026","UnitFormatterTest","unit_formatter_test","",""
"","12224","test_single_plate_100um_x_100um_li1_over_substrate","kpex/FasterCap Extraction Tests","Tue Feb 03 13:49:57 UTC 2026","failed","Tue Feb 03 13:50:09 UTC 2026","","fastercap_test","",""
"","322","test_single_plate_100um_x_100um_li1_over_substrate","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Tue Feb 03 13:50:09 UTC 2026","passed","Tue Feb 03 13:50:10 UTC 2026","","rcx25_CC_sky130A_test","",""
"","0","test_klayout_point_to_pb","Unit Tests","Tue Feb 03 13:48:38 UTC 2026","passed","Tue Feb 03 13:48:38 UTC 2026","ShapesConverterTest","shapes_pb2_converter_test","",""
"","2624","test_overlap_plates_100um_x_100um_li1_m1","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Tue Feb 03 13:50:10 UTC 2026","passed","Tue Feb 03 13:50:12 UTC 2026","","rcx25_CC_sky130A_test","",""
"","2640","test_sidewall_cap_vpp_04p4x04p6_l1_redux","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Tue Feb 03 13:50:20 UTC 2026","passed","Tue Feb 03 13:50:23 UTC 2026","","rcx25_CC_sky130A_test","",""
"","0","test_parse_csv","Unit Tests","Tue Feb 03 13:48:37 UTC 2026","passed","Tue Feb 03 13:48:37 UTC 2026","Test","capacitance_matrix_test","",""
"","0","test_render_enum_help__nodefault__intenum","Unit Tests","Tue Feb 03 13:48:38 UTC 2026","passed","Tue Feb 03 13:48:38 UTC 2026","Test","argparse_helpers_test","",""
"","11","test_netlist_reduction_2","Unit Tests","Tue Feb 03 13:48:38 UTC 2026","passed","Tue Feb 03 13:48:38 UTC 2026","Test","netlist_json_test","",""
"","0","test_summarize_sidewall","Unit Tests","Tue Feb 03 13:48:38 UTC 2026","passed","Tue Feb 03 13:48:38 UTC 2026","CellExtractionResultsTest","extraction_results_test","",""
"","2799","test_sideoverlap_complex_li1_m1","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Tue Feb 03 13:50:41 UTC 2026","passed","Tue Feb 03 13:50:44 UTC 2026","","rcx25_CC_sky130A_test","",""
"","357","test_near_body_shield_li1_m1","kpex/2.5D Extraction Tests","Tue Feb 03 13:51:06 UTC 2026","passed","Tue Feb 03 13:51:06 UTC 2026","","rcx25_test","",""
"","2","test_fastercap_parse_capacitance_matrix","Unit Tests","Tue Feb 03 13:48:38 UTC 2026","passed","Tue Feb 03 13:48:38 UTC 2026","Test","fastercap_runner_test","",""
"","1","test_write_csv","Unit Tests","Tue Feb 03 13:48:37 UTC 2026","passed","Tue Feb 03 13:48:37 UTC 2026","Test","capacitance_matrix_test","",""
"","333","test_single_plate_100um_x_100um_li1_over_substrate","kpex/2.5D Extraction Tests","Tue Feb 03 13:51:03 UTC 2026","passed","Tue Feb 03 13:51:04 UTC 2026","","rcx25_test","",""
"","0","test_env_with_custom_variables","Unit Tests","Tue Feb 03 13:48:37 UTC 2026","passed","Tue Feb 03 13:48:37 UTC 2026","Test","env_test","",""
"","1","test_render_enum_help__default__strenum","Unit Tests","Tue Feb 03 13:48:38 UTC 2026","passed","Tue Feb 03 13:48:38 UTC 2026","Test","argparse_helpers_test","",""
"","4","test_netlist_reduction_1","Unit Tests","Tue Feb 03 13:48:38 UTC 2026","passed","Tue Feb 03 13:48:38 UTC 2026","Test","netlist_json_test","",""
"","395","test_sideoverlap_plates_li1_m1","kpex/2.5D Extraction Tests","Tue Feb 03 13:51:07 UTC 2026","passed","Tue Feb 03 13:51:07 UTC 2026","","rcx25_test","",""
"","0","test_summarize_sideoverlap","Unit Tests","Tue Feb 03 13:48:38 UTC 2026","passed","Tue Feb 03 13:48:38 UTC 2026","CellExtractionResultsTest","extraction_results_test","",""
"","2713","test_nfet_li1_redux","kpex/2.5D Extraction Tests [PDK sky130A | mode R]","Tue Feb 03 13:51:01 UTC 2026","failed","Tue Feb 03 13:51:03 UTC 2026","","rcx25_R_sky130A_test","",""
"","2643","test_sideoverlap_shielding_simple_plates_li1_m1_m2","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Tue Feb 03 13:50:31 UTC 2026","passed","Tue Feb 03 13:50:33 UTC 2026","","rcx25_CC_sky130A_test","",""
"","2812","test_via_stack_1x1_minsize_poly_to_met5","kpex/2.5D Extraction Tests [PDK sky130A | mode R]","Tue Feb 03 13:50:58 UTC 2026","failed","Tue Feb 03 13:51:01 UTC 2026","","rcx25_R_sky130A_test","",""
"","0","test_klayout_box","Unit Tests","Tue Feb 03 13:48:38 UTC 2026","passed","Tue Feb 03 13:48:38 UTC 2026","ShapesConverterTest","shapes_pb2_converter_test","",""
"","1","test_env_has_defaults","Unit Tests","Tue Feb 03 13:48:37 UTC 2026","passed","Tue Feb 03 13:48:37 UTC 2026","Test","env_test","",""
"","2617","test_sideoverlap_fingered_li1_m1_patternA","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Tue Feb 03 13:50:36 UTC 2026","passed","Tue Feb 03 13:50:39 UTC 2026","","rcx25_CC_sky130A_test","",""
"","441","test_sideoverlap_fingered_li1_m1","kpex/2.5D Extraction Tests","Tue Feb 03 13:51:08 UTC 2026","passed","Tue Feb 03 13:51:08 UTC 2026","","rcx25_test","",""
"","2694","test_contact_1x1_minsize_mcon","kpex/2.5D Extraction Tests [PDK sky130A | mode R]","Tue Feb 03 13:50:52 UTC 2026","failed","Tue Feb 03 13:50:55 UTC 2026","","rcx25_R_sky130A_test","",""
"","0","test_klayout_polygon_to_pb","Unit Tests","Tue Feb 03 13:48:38 UTC 2026","passed","Tue Feb 03 13:48:38 UTC 2026","ShapesConverterTest","shapes_pb2_converter_test","",""
"","0","test_boundary_cases","Unit Tests","Tue Feb 03 13:48:38 UTC 2026","passed","Tue Feb 03 13:48:38 UTC 2026","UnitFormatterTest","unit_formatter_test","",""
"","404","test_overlap_plates_100um_x_100um_li1_m1_m2_m3","kpex/2.5D Extraction Tests","Tue Feb 03 13:51:04 UTC 2026","passed","Tue Feb 03 13:51:05 UTC 2026","","rcx25_test","",""
"","2681","test_overlap_plates_100um_x_100um_li1_m1_m2_m3","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Tue Feb 03 13:50:12 UTC 2026","passed","Tue Feb 03 13:50:15 UTC 2026","","rcx25_CC_sky130A_test","",""
"","1","test_netlist_reduction_2","Unit Tests","Tue Feb 03 13:48:38 UTC 2026","passed","Tue Feb 03 13:48:38 UTC 2026","Test","netlist_reducer_test","",""
"","329","test_lateral_fringe_shield_by_same_polygon_li1","kpex/2.5D Extraction Tests","Tue Feb 03 13:51:06 UTC 2026","passed","Tue Feb 03 13:51:06 UTC 2026","","rcx25_test","",""
