"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11195","test_single_plate_100um_x_100um_li1_over_substrate","kpex/FasterCap Extraction Tests","Thu Aug 07 15:05:56 GMT 2025","failed","Thu Aug 07 15:06:07 GMT 2025","","fastercap_test","",""
"","2527","test_sidewall_net_uturn_l1_redux","kpex/2.5D Extraction Tests","Thu Aug 07 15:06:15 GMT 2025","passed","Thu Aug 07 15:06:18 GMT 2025","","rcx25_test","",""
"","15","test_normed_descending","Unit Tests","Thu Aug 07 15:04:27 GMT 2025","passed","Thu Aug 07 15:04:27 GMT 2025","NetCoupleKeyTest","extraction_results_test","",""
"","332","test_single_plate_100um_x_100um_li1_over_substrate","kpex/2.5D Extraction Tests","Thu Aug 07 15:06:07 GMT 2025","passed","Thu Aug 07 15:06:07 GMT 2025","","rcx25_test","",""
"","0","test_netlist_reduction_1","Unit Tests","Thu Aug 07 15:04:27 GMT 2025","passed","Thu Aug 07 15:04:27 GMT 2025","Test","netlist_json_test","",""
"","0","test_summarize_overlap","Unit Tests","Thu Aug 07 15:04:27 GMT 2025","passed","Thu Aug 07 15:04:27 GMT 2025","CellExtractionResultsTest","extraction_results_test","",""
"","2783","test_sideoverlap_plates_li1_m1","kpex/2.5D Extraction Tests","Thu Aug 07 15:06:30 GMT 2025","passed","Thu Aug 07 15:06:33 GMT 2025","","rcx25_test","",""
"","2529","test_sidewall_100um_x_100um_distance_200nm_li1","kpex/2.5D Extraction Tests","Thu Aug 07 15:06:13 GMT 2025","passed","Thu Aug 07 15:06:15 GMT 2025","","rcx25_test","",""
"","0","test_summarize_sideoverlap","Unit Tests","Thu Aug 07 15:04:27 GMT 2025","passed","Thu Aug 07 15:04:27 GMT 2025","CellExtractionResultsTest","extraction_results_test","",""
"","2595","test_sideoverlap_shielding_simple_plates_li1_m1_m2","kpex/2.5D Extraction Tests","Thu Aug 07 15:06:28 GMT 2025","passed","Thu Aug 07 15:06:30 GMT 2025","","rcx25_test","",""
"","0","test_normed_ascending","Unit Tests","Thu Aug 07 15:04:27 GMT 2025","passed","Thu Aug 07 15:04:27 GMT 2025","NetCoupleKeyTest","extraction_results_test","",""
"","0","test_netlist_reduction_2","Unit Tests","Thu Aug 07 15:04:27 GMT 2025","passed","Thu Aug 07 15:04:27 GMT 2025","Test","netlist_reducer_test","",""
"","2570","test_sidewall_cap_vpp_04p4x04p6_l1_redux","kpex/2.5D Extraction Tests","Thu Aug 07 15:06:18 GMT 2025","passed","Thu Aug 07 15:06:20 GMT 2025","","rcx25_test","",""
"","0","test_render_enum_help__nodefault__intenum","Unit Tests","Thu Aug 07 15:04:27 GMT 2025","passed","Thu Aug 07 15:04:27 GMT 2025","Test","argparse_helpers_test","",""
"","0","test_averaged_off_diagonals","Unit Tests","Thu Aug 07 15:04:26 GMT 2025","passed","Thu Aug 07 15:04:26 GMT 2025","Test","capacitance_matrix_test","",""
"","0","test_render_enum_help__default__strenum__lowercased","Unit Tests","Thu Aug 07 15:04:27 GMT 2025","passed","Thu Aug 07 15:04:27 GMT 2025","Test","argparse_helpers_test","",""
"","2924","test_sideoverlap_fingered_li1_m1","kpex/2.5D Extraction Tests","Thu Aug 07 15:06:36 GMT 2025","passed","Thu Aug 07 15:06:39 GMT 2025","","rcx25_test","",""
"","31","test_fastcap_parse_capacitance_matrix","Unit Tests","Thu Aug 07 15:04:26 GMT 2025","passed","Thu Aug 07 15:04:26 GMT 2025","Test","fastcap_runner_test","",""
"","2531","test_sideoverlap_simple_plates_li1_m1","kpex/2.5D Extraction Tests","Thu Aug 07 15:06:25 GMT 2025","passed","Thu Aug 07 15:06:28 GMT 2025","","rcx25_test","",""
"","2659","test_overlap_plates_100um_x_100um_li1_m1_m2_m3","kpex/2.5D Extraction Tests","Thu Aug 07 15:06:10 GMT 2025","passed","Thu Aug 07 15:06:13 GMT 2025","","rcx25_test","",""
"","4118","test_sideoverlap_complex_li1_m1","kpex/2.5D Extraction Tests","Thu Aug 07 15:06:39 GMT 2025","passed","Thu Aug 07 15:06:43 GMT 2025","","rcx25_test","",""
"","0","test_render_enum_help__default__strenum","Unit Tests","Thu Aug 07 15:04:27 GMT 2025","passed","Thu Aug 07 15:04:27 GMT 2025","Test","argparse_helpers_test","",""
"","2499","test_overlap_plates_100um_x_100um_li1_m1","kpex/2.5D Extraction Tests","Thu Aug 07 15:06:07 GMT 2025","passed","Thu Aug 07 15:06:10 GMT 2025","","rcx25_test","",""
"","31","test_netlist_expansion","Unit Tests","Thu Aug 07 15:04:27 GMT 2025","passed","Thu Aug 07 15:04:27 GMT 2025","Test","netlist_expander_test","",""
"","0","test_summarize_sidewall","Unit Tests","Thu Aug 07 15:04:27 GMT 2025","passed","Thu Aug 07 15:04:27 GMT 2025","CellExtractionResultsTest","extraction_results_test","",""
"","2569","test_sideoverlap_fingered_li1_m1_patternA","kpex/2.5D Extraction Tests","Thu Aug 07 15:06:33 GMT 2025","passed","Thu Aug 07 15:06:36 GMT 2025","","rcx25_test","",""
"","1017","test_fastercap_model_generator","Unit Tests","Thu Aug 07 15:04:26 GMT 2025","passed","Thu Aug 07 15:04:27 GMT 2025","","fastercap_model_generator_test","",""
"","0","test_render_enum_help__default__intenum","Unit Tests","Thu Aug 07 15:04:27 GMT 2025","passed","Thu Aug 07 15:04:27 GMT 2025","Test","argparse_helpers_test","",""
"","2545","test_near_body_shield_li1_m1","kpex/2.5D Extraction Tests","Thu Aug 07 15:06:20 GMT 2025","passed","Thu Aug 07 15:06:23 GMT 2025","","rcx25_test","",""
"","0","test_klayout_region","Unit Tests","Thu Aug 07 15:04:27 GMT 2025","passed","Thu Aug 07 15:04:27 GMT 2025","ShapesConverterTest","shapes_pb2_converter_test","",""
"","15","test_parse_csv","Unit Tests","Thu Aug 07 15:04:26 GMT 2025","passed","Thu Aug 07 15:04:26 GMT 2025","Test","capacitance_matrix_test","",""
"","0","test_netlist_reduction_1","Unit Tests","Thu Aug 07 15:04:27 GMT 2025","passed","Thu Aug 07 15:04:27 GMT 2025","Test","netlist_reducer_test","",""
"","0","test_write_csv","Unit Tests","Thu Aug 07 15:04:26 GMT 2025","passed","Thu Aug 07 15:04:26 GMT 2025","Test","capacitance_matrix_test","",""
"","0","test_fastercap_parse_capacitance_matrix","Unit Tests","Thu Aug 07 15:04:27 GMT 2025","passed","Thu Aug 07 15:04:27 GMT 2025","Test","fastercap_runner_test","",""
"","2486","test_lateral_fringe_shield_by_same_polygon_li1","kpex/2.5D Extraction Tests","Thu Aug 07 15:06:23 GMT 2025","passed","Thu Aug 07 15:06:25 GMT 2025","","rcx25_test","",""
"","16","test_netlist_reduction_2","Unit Tests","Thu Aug 07 15:04:27 GMT 2025","passed","Thu Aug 07 15:04:27 GMT 2025","Test","netlist_json_test","",""
