"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","test_a_box_in_the_notch_of_an_l_shape","Unit Tests","2026-08-28","passed","2026-08-28","Pex25DValidatorTest","validator_test","",""
"","8","test_overlap_is_symmetric","Unit Tests","2026-08-28","passed","2026-08-28","Pex25DGeometryTest","geometry_test","",""
"","0","test_env_with_custom_variables","Unit Tests","2026-08-28","passed","2026-08-28","Test","env_test","",""
"","2","test_netlist_reduction_2","Unit Tests","2026-08-28","passed","2026-08-28","Test","netlist_reducer_test","",""
"","7","test_a_wrap_never_splits_a_coordinate_pair","Unit Tests","2026-08-28","passed","2026-08-28","Pex25DWriterTest","writer_test","",""
"","2","test_a_shape_filling_a_hole_exactly","Unit Tests","2026-08-28","passed","2026-08-28","Pex25DGeometryTest","geometry_test","",""
"","0","test_ring_is_simple","Unit Tests","2026-08-28","passed","2026-08-28","Pex25DGeometryTest","geometry_test","",""
"","2","test_e0277_an_empty_terminal_node","Unit Tests","2026-08-28","passed","2026-08-28","Pex25DValidatorTest","validator_test","",""
"","0","test_forced_prefix","Unit Tests","2026-08-28","passed","2026-08-28","UnitFormatterTest","unit_formatter_test","",""
"","1935","test_sidewall_100um_x_100um_distance_200nm_li1","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","2026-08-28","passed","2026-08-28","","rcx25_CC_sky130A_test","",""
"","3","test_fastercap_parse_capacitance_matrix","Unit Tests","2026-08-28","passed","2026-08-28","Test","fastercap_runner_test","",""
"","1957","test_sideoverlap_simple_plates_li1_m1","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","2026-08-28","passed","2026-08-28","","rcx25_CC_sky130A_test","",""
"","240","test_overlap_plates_100um_x_100um_li1_m1","kpex/2.5D Extraction Tests","2026-08-28","passed","2026-08-28","","rcx25_test","",""
"","6","test_a_conductor_may_sit_inside_another_ones_hole","Unit Tests","2026-08-28","passed","2026-08-28","Pex25DValidatorTest","validator_test","",""
"","30","test_werror_turns_a_warning_into_a_failure","Unit Tests","2026-08-28","passed","2026-08-28","Pex25DCLITest","pex25d_cli_test","",""
"","227","test_single_plate_100um_x_100um_li1_over_substrate","kpex/2.5D Extraction Tests","2026-08-28","passed","2026-08-28","","rcx25_test","",""
"","12","test_an_unconventional_output_name_exits_two","Unit Tests","2026-08-28","passed","2026-08-28","Pex25DCLITest","pex25d_cli_test","",""
"","3","test_e0273_a_metal_carrying_a_via_resistance","Unit Tests","2026-08-28","passed","2026-08-28","Pex25DValidatorTest","validator_test","",""
"","227","test_sidewall_cap_vpp_04p4x04p6_l1_redux","kpex/2.5D Extraction Tests","2026-08-28","passed","2026-08-28","","rcx25_test","",""
"","2","test_e0220_resistance_metal_on_a_via","Unit Tests","2026-08-28","passed","2026-08-28","Pex25DResolverTest","resolver_test","",""
"","15","test_a_valid_file_exits_zero","Unit Tests","2026-08-28","passed","2026-08-28","Pex25DCLITest","pex25d_cli_test","",""
"","1","test_a_fold_back_is_not_simple","Unit Tests","2026-08-28","passed","2026-08-28","Pex25DGeometryTest","geometry_test","",""
"","249","test_sideoverlap_shielding_simple_plates_li1_m1_m2","kpex/2.5D Extraction Tests","2026-08-28","passed","2026-08-28","","rcx25_test","",""
"","2","test_e0303_a_repeated_vertex","Unit Tests","2026-08-28","passed","2026-08-28","Pex25DValidatorTest","validator_test","",""
"","4","test_e0272_a_via_without_its_resolved_endpoints","Unit Tests","2026-08-28","passed","2026-08-28","Pex25DValidatorTest","validator_test","",""
