"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","test_netlist_reduction_1","Unit Tests","2026-07-30","passed","2026-07-30","Test","netlist_reducer_test","",""
"","2","test_env_with_custom_variables","Unit Tests","2026-07-30","passed","2026-07-30","Test","env_test","",""
"","0","test_valid_pdk_from_env","Unit Tests","2026-07-30","passed","2026-07-30","Test","env_test","",""
"","0","test_klayout_box_to_pb__with_properties","Unit Tests","2026-07-30","passed","2026-07-30","ShapesConverterTest","shapes_pb2_converter_test","",""
"","274","test_sideoverlap_simple_plates_li1_m1","kpex/2.5D Extraction Tests","2026-07-30","passed","2026-07-30","","rcx25_test","",""
"","2096","test_lateral_fringe_shield_by_same_polygon_li1","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","2026-07-30","passed","2026-07-30","","rcx25_CC_sky130A_test","",""
"","2","test_summarize_overlap","Unit Tests","2026-07-30","passed","2026-07-30","CellExtractionResultsTest","extraction_results_test","",""
"","2","test_render_enum_help__default__strenum__lowercased","Unit Tests","2026-07-30","passed","2026-07-30","Test","argparse_helpers_test","",""
"","4268","test_mom_cap__whiteboxed","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","2026-07-30","passed","2026-07-30","","rcx25_CC_sky130A_test","",""
"","2","test_normed_descending","Unit Tests","2026-07-30","passed","2026-07-30","NetCoupleKeyTest","extraction_results_test","",""
"","270","test_sidewall_net_uturn_l1_redux","kpex/2.5D Extraction Tests","2026-07-30","passed","2026-07-30","","rcx25_test","",""
"","2163","test_sideoverlap_plates_li1_m1","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","2026-07-30","passed","2026-07-30","","rcx25_CC_sky130A_test","",""
"","2198","test_nfet_li1_redux","kpex/2.5D Extraction Tests [PDK sky130A | mode R]","2026-07-30","failed","2026-07-30","","rcx25_R_sky130A_test","",""
"","271","test_overlap_plates_100um_x_100um_li1_m1","kpex/2.5D Extraction Tests","2026-07-30","passed","2026-07-30","","rcx25_test","",""
"","2125","test_sidewall_net_uturn_l1_redux","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","2026-07-30","passed","2026-07-30","","rcx25_CC_sky130A_test","",""
