"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_klayout_polygon_to_pb","Unit Tests","Thu Feb 19 13:25:32 UTC 2026","passed","Thu Feb 19 13:25:32 UTC 2026","ShapesConverterTest","shapes_pb2_converter_test","",""
"","2440","test_sidewall_net_uturn_l1_redux","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Thu Feb 19 13:27:07 UTC 2026","passed","Thu Feb 19 13:27:09 UTC 2026","","rcx25_CC_sky130A_test","",""
"","328","test_overlap_plates_100um_x_100um_li1_m1","kpex/2.5D Extraction Tests","Thu Feb 19 13:27:50 UTC 2026","passed","Thu Feb 19 13:27:51 UTC 2026","","rcx25_test","",""
"","0","test_render_enum_help__default__strenum","Unit Tests","Thu Feb 19 13:25:32 UTC 2026","passed","Thu Feb 19 13:25:32 UTC 2026","Test","argparse_helpers_test","",""
"","990","test_fastercap_model_generator","Unit Tests","Thu Feb 19 13:25:31 UTC 2026","passed","Thu Feb 19 13:25:32 UTC 2026","","fastercap_model_generator_test","",""
"","2447","test_sidewall_100um_x_100um_distance_200nm_li1","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Thu Feb 19 13:27:04 UTC 2026","passed","Thu Feb 19 13:27:07 UTC 2026","","rcx25_CC_sky130A_test","",""
"","12","test_netlist_reduction_2","Unit Tests","Thu Feb 19 13:25:32 UTC 2026","passed","Thu Feb 19 13:25:32 UTC 2026","Test","netlist_json_test","",""
"","2449","test_overlap_plates_100um_x_100um_li1_m1","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Thu Feb 19 13:26:59 UTC 2026","passed","Thu Feb 19 13:27:02 UTC 2026","","rcx25_CC_sky130A_test","",""
"","4","test_netlist_reduction_1","Unit Tests","Thu Feb 19 13:25:32 UTC 2026","passed","Thu Feb 19 13:25:32 UTC 2026","Test","netlist_json_test","",""
"","0","test_klayout_box_to_pb","Unit Tests","Thu Feb 19 13:25:32 UTC 2026","passed","Thu Feb 19 13:25:32 UTC 2026","ShapesConverterTest","shapes_pb2_converter_test","",""
"","0","test_klayout_point_to_pb","Unit Tests","Thu Feb 19 13:25:32 UTC 2026","passed","Thu Feb 19 13:25:32 UTC 2026","ShapesConverterTest","shapes_pb2_converter_test","",""
"","2424","test_sidewall_cap_vpp_04p4x04p6_l1_redux","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Thu Feb 19 13:27:09 UTC 2026","passed","Thu Feb 19 13:27:12 UTC 2026","","rcx25_CC_sky130A_test","",""
"","0","test_klayout_box","Unit Tests","Thu Feb 19 13:25:32 UTC 2026","passed","Thu Feb 19 13:25:32 UTC 2026","ShapesConverterTest","shapes_pb2_converter_test","",""
"","322","test_sidewall_cap_vpp_04p4x04p6_l1_redux","kpex/2.5D Extraction Tests","Thu Feb 19 13:27:52 UTC 2026","passed","Thu Feb 19 13:27:52 UTC 2026","","rcx25_test","",""
"","324","test_single_plate_100um_x_100um_li1_over_substrate","kpex/2.5D Extraction Tests","Thu Feb 19 13:27:50 UTC 2026","passed","Thu Feb 19 13:27:50 UTC 2026","","rcx25_test","",""
"","2","test_render_enum_help__default__strenum__lowercased","Unit Tests","Thu Feb 19 13:25:32 UTC 2026","passed","Thu Feb 19 13:25:32 UTC 2026","Test","argparse_helpers_test","",""
"","2","test_invalid_prefix","Unit Tests","Thu Feb 19 13:25:32 UTC 2026","passed","Thu Feb 19 13:25:32 UTC 2026","UnitFormatterTest","unit_formatter_test","",""
"","2680","test_via_stack_1x1_minsize_poly_to_met5","kpex/2.5D Extraction Tests [PDK sky130A | mode R]","Thu Feb 19 13:27:45 UTC 2026","failed","Thu Feb 19 13:27:47 UTC 2026","","rcx25_R_sky130A_test","",""
"","0","test_summarize_sideoverlap","Unit Tests","Thu Feb 19 13:25:32 UTC 2026","passed","Thu Feb 19 13:25:32 UTC 2026","CellExtractionResultsTest","extraction_results_test","",""
"","2460","test_sideoverlap_shielding_simple_plates_li1_m1_m2","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Thu Feb 19 13:27:19 UTC 2026","passed","Thu Feb 19 13:27:22 UTC 2026","","rcx25_CC_sky130A_test","",""
"","2439","test_lateral_fringe_shield_by_same_polygon_li1","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Thu Feb 19 13:27:14 UTC 2026","passed","Thu Feb 19 13:27:17 UTC 2026","","rcx25_CC_sky130A_test","",""
"","0","test_forced_prefix","Unit Tests","Thu Feb 19 13:25:32 UTC 2026","passed","Thu Feb 19 13:25:32 UTC 2026","UnitFormatterTest","unit_formatter_test","",""
"","343","test_near_body_shield_li1_m1","kpex/2.5D Extraction Tests","Thu Feb 19 13:27:52 UTC 2026","passed","Thu Feb 19 13:27:52 UTC 2026","","rcx25_test","",""
"","2","test_summarize_sidewall","Unit Tests","Thu Feb 19 13:25:32 UTC 2026","passed","Thu Feb 19 13:25:32 UTC 2026","CellExtractionResultsTest","extraction_results_test","",""
"","2511","test_wire_voltage_divider_li1","kpex/2.5D Extraction Tests [PDK sky130A | mode R]","Thu Feb 19 13:27:42 UTC 2026","failed","Thu Feb 19 13:27:45 UTC 2026","","rcx25_R_sky130A_test","",""
"","2514","test_sideoverlap_plates_li1_m1","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Thu Feb 19 13:27:22 UTC 2026","passed","Thu Feb 19 13:27:24 UTC 2026","","rcx25_CC_sky130A_test","",""
