"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","test_klayout_box_to_pb__with_properties","Unit Tests","Thu Feb 19 16:56:49 UTC 2026","passed","Thu Feb 19 16:56:49 UTC 2026","ShapesConverterTest","shapes_pb2_converter_test","",""
"","337","test_sideoverlap_simple_plates_li1_m1","kpex/2.5D Extraction Tests","Thu Feb 19 16:59:03 UTC 2026","passed","Thu Feb 19 16:59:03 UTC 2026","","rcx25_test","",""
"","0","test_write_csv","Unit Tests","Thu Feb 19 16:56:48 UTC 2026","passed","Thu Feb 19 16:56:48 UTC 2026","Test","capacitance_matrix_test","",""
"","2580","test_contact_1x1_minsize_mcon","kpex/2.5D Extraction Tests [PDK sky130A | mode R]","Thu Feb 19 16:58:50 UTC 2026","failed","Thu Feb 19 16:58:52 UTC 2026","","rcx25_R_sky130A_test","",""
"","2558","test_sidewall_net_uturn_l1_redux","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Thu Feb 19 16:58:16 UTC 2026","passed","Thu Feb 19 16:58:18 UTC 2026","","rcx25_CC_sky130A_test","",""
"","393","test_overlap_plates_100um_x_100um_li1_m1_m2_m3","kpex/2.5D Extraction Tests","Thu Feb 19 16:59:01 UTC 2026","passed","Thu Feb 19 16:59:01 UTC 2026","","rcx25_test","",""
"","0","test_auto_prefix","Unit Tests","Thu Feb 19 16:56:50 UTC 2026","passed","Thu Feb 19 16:56:50 UTC 2026","UnitFormatterTest","unit_formatter_test","",""
"","2548","test_sideoverlap_shielding_simple_plates_li1_m1_m2","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Thu Feb 19 16:58:28 UTC 2026","passed","Thu Feb 19 16:58:31 UTC 2026","","rcx25_CC_sky130A_test","",""
"","0","test_env_with_custom_variables","Unit Tests","Thu Feb 19 16:56:48 UTC 2026","passed","Thu Feb 19 16:56:48 UTC 2026","Test","env_test","",""
"","2","test_env_has_defaults","Unit Tests","Thu Feb 19 16:56:48 UTC 2026","passed","Thu Feb 19 16:56:48 UTC 2026","Test","env_test","",""
"","0","test_render_enum_help__nodefault__intenum","Unit Tests","Thu Feb 19 16:56:50 UTC 2026","passed","Thu Feb 19 16:56:50 UTC 2026","Test","argparse_helpers_test","",""
"","322","test_sidewall_cap_vpp_04p4x04p6_l1_redux","kpex/2.5D Extraction Tests","Thu Feb 19 16:59:02 UTC 2026","passed","Thu Feb 19 16:59:02 UTC 2026","","rcx25_test","",""
"","0","test_klayout_region","Unit Tests","Thu Feb 19 16:56:49 UTC 2026","passed","Thu Feb 19 16:56:49 UTC 2026","ShapesConverterTest","shapes_pb2_converter_test","",""
"","6","test_netlist_reduction_1","Unit Tests","Thu Feb 19 16:56:49 UTC 2026","passed","Thu Feb 19 16:56:49 UTC 2026","Test","netlist_json_test","",""
"","2","test_netlist_reduction_2","Unit Tests","Thu Feb 19 16:56:49 UTC 2026","passed","Thu Feb 19 16:56:49 UTC 2026","Test","netlist_reducer_test","",""
"","2627","test_nfet_li1_redux","kpex/2.5D Extraction Tests [PDK sky130A | mode R]","Thu Feb 19 16:58:57 UTC 2026","failed","Thu Feb 19 16:59:00 UTC 2026","","rcx25_R_sky130A_test","",""
"","0","test_render_enum_help__default__intenum","Unit Tests","Thu Feb 19 16:56:50 UTC 2026","passed","Thu Feb 19 16:56:50 UTC 2026","Test","argparse_helpers_test","",""
"","322","test_lateral_fringe_shield_by_same_polygon_li1","kpex/2.5D Extraction Tests","Thu Feb 19 16:59:02 UTC 2026","passed","Thu Feb 19 16:59:03 UTC 2026","","rcx25_test","",""
"","2","test_netlist_reduction_1","Unit Tests","Thu Feb 19 16:56:49 UTC 2026","passed","Thu Feb 19 16:56:49 UTC 2026","Test","netlist_reducer_test","",""
"","338","test_sideoverlap_fingered_li1_m1_patternA","kpex/2.5D Extraction Tests","Thu Feb 19 16:59:04 UTC 2026","passed","Thu Feb 19 16:59:04 UTC 2026","","rcx25_test","",""
"","2611","test_sideoverlap_simple_plates_li1_m1","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Thu Feb 19 16:58:26 UTC 2026","passed","Thu Feb 19 16:58:28 UTC 2026","","rcx25_CC_sky130A_test","",""
"","0","test_render_enum_help__default__strenum__lowercased","Unit Tests","Thu Feb 19 16:56:50 UTC 2026","passed","Thu Feb 19 16:56:50 UTC 2026","Test","argparse_helpers_test","",""
"","3","test_fastercap_parse_capacitance_matrix","Unit Tests","Thu Feb 19 16:56:49 UTC 2026","passed","Thu Feb 19 16:56:49 UTC 2026","Test","fastercap_runner_test","",""
"","0","test_normed_ascending","Unit Tests","Thu Feb 19 16:56:49 UTC 2026","passed","Thu Feb 19 16:56:49 UTC 2026","NetCoupleKeyTest","extraction_results_test","",""
"","2","test_invalid_prefix","Unit Tests","Thu Feb 19 16:56:50 UTC 2026","passed","Thu Feb 19 16:56:50 UTC 2026","UnitFormatterTest","unit_formatter_test","",""
"","2670","test_sideoverlap_complex_li1_m1","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Thu Feb 19 16:58:39 UTC 2026","passed","Thu Feb 19 16:58:41 UTC 2026","","rcx25_CC_sky130A_test","",""
"","29","test_fastcap_parse_capacitance_matrix","Unit Tests","Thu Feb 19 16:56:48 UTC 2026","passed","Thu Feb 19 16:56:48 UTC 2026","Test","fastcap_runner_test","",""
"","0","test_normed_descending","Unit Tests","Thu Feb 19 16:56:49 UTC 2026","passed","Thu Feb 19 16:56:49 UTC 2026","NetCoupleKeyTest","extraction_results_test","",""
"","2501","test_sidewall_cap_vpp_04p4x04p6_l1_redux","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Thu Feb 19 16:58:18 UTC 2026","passed","Thu Feb 19 16:58:21 UTC 2026","","rcx25_CC_sky130A_test","",""
"","2556","test_overlap_plates_100um_x_100um_li1_m1","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Thu Feb 19 16:58:08 UTC 2026","passed","Thu Feb 19 16:58:10 UTC 2026","","rcx25_CC_sky130A_test","",""
"","350","test_sideoverlap_shielding_simple_plates_li1_m1_m2","kpex/2.5D Extraction Tests","Thu Feb 19 16:59:03 UTC 2026","passed","Thu Feb 19 16:59:03 UTC 2026","","rcx25_test","",""
"","2610","test_overlap_plates_100um_x_100um_li1_m1_m2_m3","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Thu Feb 19 16:58:11 UTC 2026","passed","Thu Feb 19 16:58:13 UTC 2026","","rcx25_CC_sky130A_test","",""
"","0","test_klayout_point_to_pb","Unit Tests","Thu Feb 19 16:56:49 UTC 2026","passed","Thu Feb 19 16:56:49 UTC 2026","ShapesConverterTest","shapes_pb2_converter_test","",""
"","2565","test_single_wire_li1","kpex/2.5D Extraction Tests [PDK sky130A | mode R]","Thu Feb 19 16:58:47 UTC 2026","failed","Thu Feb 19 16:58:50 UTC 2026","","rcx25_R_sky130A_test","",""
"","316","test_single_plate_100um_x_100um_li1_over_substrate","kpex/2.5D Extraction Tests","Thu Feb 19 16:59:00 UTC 2026","passed","Thu Feb 19 16:59:00 UTC 2026","","rcx25_test","",""
"","4","test_averaged_off_diagonals","Unit Tests","Thu Feb 19 16:56:48 UTC 2026","passed","Thu Feb 19 16:56:48 UTC 2026","Test","capacitance_matrix_test","",""
"","342","test_near_body_shield_li1_m1","kpex/2.5D Extraction Tests","Thu Feb 19 16:59:02 UTC 2026","passed","Thu Feb 19 16:59:02 UTC 2026","","rcx25_test","",""
"","0","test_summarize_overlap","Unit Tests","Thu Feb 19 16:56:49 UTC 2026","passed","Thu Feb 19 16:56:49 UTC 2026","CellExtractionResultsTest","extraction_results_test","",""
"","315","test_single_plate_100um_x_100um_li1_over_substrate","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Thu Feb 19 16:58:08 UTC 2026","passed","Thu Feb 19 16:58:08 UTC 2026","","rcx25_CC_sky130A_test","",""
