"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_netlist_reduction_2","Unit Tests","Fri Nov 14 15:34:42 UTC 2025","passed","Fri Nov 14 15:34:42 UTC 2025","Test","netlist_reducer_test","",""
"","2637","test_sideoverlap_fingered_li1_m1","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Fri Nov 14 15:36:27 UTC 2025","passed","Fri Nov 14 15:36:29 UTC 2025","","rcx25_CC_sky130A_test","",""
"","1","test_klayout_polygon_to_pb","Unit Tests","Fri Nov 14 15:34:42 UTC 2025","passed","Fri Nov 14 15:34:42 UTC 2025","ShapesConverterTest","shapes_pb2_converter_test","",""
"","28","test_fastcap_parse_capacitance_matrix","Unit Tests","Fri Nov 14 15:34:40 UTC 2025","passed","Fri Nov 14 15:34:40 UTC 2025","Test","fastcap_runner_test","",""
"","2561","test_lateral_fringe_shield_by_same_polygon_li1","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Fri Nov 14 15:36:14 UTC 2025","passed","Fri Nov 14 15:36:16 UTC 2025","","rcx25_CC_sky130A_test","",""
"","2526","test_sidewall_net_uturn_l1_redux","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Fri Nov 14 15:36:06 UTC 2025","passed","Fri Nov 14 15:36:09 UTC 2025","","rcx25_CC_sky130A_test","",""
"","494","test_sideoverlap_complex_li1_m1","kpex/2.5D Extraction Tests","Fri Nov 14 15:36:56 UTC 2025","passed","Fri Nov 14 15:36:56 UTC 2025","","rcx25_test","",""
"","2573","test_sideoverlap_shielding_simple_plates_li1_m1_m2","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Fri Nov 14 15:36:19 UTC 2025","passed","Fri Nov 14 15:36:21 UTC 2025","","rcx25_CC_sky130A_test","",""
"","327","test_sidewall_cap_vpp_04p4x04p6_l1_redux","kpex/2.5D Extraction Tests","Fri Nov 14 15:36:53 UTC 2025","passed","Fri Nov 14 15:36:53 UTC 2025","","rcx25_test","",""
"","1","test_summarize_sideoverlap","Unit Tests","Fri Nov 14 15:34:42 UTC 2025","passed","Fri Nov 14 15:34:42 UTC 2025","CellExtractionResultsTest","extraction_results_test","",""
"","0","test_normed_ascending","Unit Tests","Fri Nov 14 15:34:42 UTC 2025","passed","Fri Nov 14 15:34:42 UTC 2025","NetCoupleKeyTest","extraction_results_test","",""
